training_started_at,segment,epoch,role,rank,candidate_id,fitness,objective_j,distance_mm,valid,control_point_index,x_mm,y_mm,z_mm
20260824_115654,S6B,1,prey,8,prey_08,0.000815,1227.174550,1227.174550,1,4,304.136607,332.826458,8.005830
20260824_115654,S6B,1,prey,8,prey_08,0.000815,1227.174550,1227.174550,1,5,205.044175,225.203293,32.806639
20260824_115654,S6B,1,prey,8,prey_08,0.000815,1227.174550,1227.174550,1,6,137.580929,168.989009,44.542841
20260824_115654,S6B,1,prey,8,prey_08,0.000815,1227.174550,1227.174550,1,7,96.662800,45.960299,16.784238
20260824_115654,S6B,1,prey,8,prey_08,0.000815,1227.174550,1227.174550,1,8,29.583846,0.000000,25.936372
20260824_115654,S6B,1,prey,9,prey_09,0.000812,1231.661880,1231.661880,1,1,408.383470,377.442277,2.013557
20260824_115654,S6B,1,prey,9,prey_09,0.000812,1231.661880,1231.661880,1,2,358.748298,404.524282,2.297045
20260824_115654,S6B,1,prey,9,prey_09,0.000812,1231.661880,1231.661880,1,3,379.384519,361.842566,14.802080
20260824_115654,S6B,1,prey,9,prey_09,0.000812,1231.661880,1231.661880,1,4,287.899457,292.266265,0.000000
20260824_115654,S6B,1,prey,9,prey_09,0.000812,1231.661880,1231.661880,1,5,203.063569,254.703378,0.000000
20260824_115654,S6B,1,prey,9,prey_09,0.000812,1231.661880,1231.661880,1,6,146.947314,182.930357,2.707573
20260824_115654,S6B,1,prey,9,prey_09,0.000812,1231.661880,1231.661880,1,7,38.916906,97.761189,0.000000
20260824_115654,S6B,1,prey,9,prey_09,0.000812,1231.661880,1231.661880,1,8,0.000000,19.048875,41.662642
20260824_115654,S6B,1,prey,10,prey_10,0.000806,1240.740261,1240.740261,1,1,380.465857,372.111549,0.000000
20260824_115654,S6B,1,prey,10,prey_10,0.000806,1240.740261,1240.740261,1,2,372.403043,438.499553,5.542705
20260824_115654,S6B,1,prey,10,prey_10,0.000806,1240.740261,1240.740261,1,3,321.913735,416.910523,0.000000
20260824_115654,S6B,1,prey,10,prey_10,0.000806,1240.740261,1240.740261,1,4,253.037037,319.363814,11.912659
20260824_115654,S6B,1,prey,10,prey_10,0.000806,1240.740261,1240.740261,1,5,181.418800,217.772568,6.829414
20260824_115654,S6B,1,prey,10,prey_10,0.000806,1240.740261,1240.740261,1,6,175.196077,163.667281,1.065978
20260824_115654,S6B,1,prey,10,prey_10,0.000806,1240.740261,1240.740261,1,7,100.279640,46.617780,24.690435
20260824_115654,S6B,1,prey,10,prey_10,0.000806,1240.740261,1240.740261,1,8,11.484671,19.110928,8.753048
20260824_115654,S6B,1,prey,11,prey_11,0.000805,1242.261976,1242.261976,1,1,367.785233,418.571554,0.000000
20260824_115654,S6B,1,prey,11,prey_11,0.000805,1242.261976,1242.261976,1,2,338.956528,393.790571,25.381008
20260824_115654,S6B,1,prey,11,prey_11,0.000805,1242.261976,1242.261976,1,3,365.178044,365.673918,0.000000
20260824_115654,S6B,1,prey,11,prey_11,0.000805,1242.261976,1242.261976,1,4,255.235818,302.067485,0.000000
20260824_115654,S6B,1,prey,11,prey_11,0.000805,1242.261976,1242.261976,1,5,193.389557,207.062292,0.000000
20260824_115654,S6B,1,prey,11,prey_11,0.000805,1242.261976,1242.261976,1,6,159.185370,132.973882,0.000000
20260824_115654,S6B,1,prey,11,prey_11,0.000805,1242.261976,1242.261976,1,7,55.425905,52.792297,29.493493
20260824_115654,S6B,1,prey,11,prey_11,0.000805,1242.261976,1242.261976,1,8,9.578322,0.000000,31.577679
20260824_115654,S6B,1,prey,12,prey_12,0.000801,1248.729752,1248.729752,1,1,370.430063,433.367608,0.000000
20260824_115654,S6B,1,prey,12,prey_12,0.000801,1248.729752,1248.729752,1,2,372.229703,425.783260,0.000000
20260824_115654,S6B,1,prey,12,prey_12,0.000801,1248.729752,1248.729752,1,3,337.606467,429.395150,0.000000
20260824_115654,S6B,1,prey,12,prey_12,0.000801,1248.729752,1248.729752,1,4,296.077335,295.797744,8.204479
20260824_115654,S6B,1,prey,12,prey_12,0.000801,1248.729752,1248.729752,1,5,207.830455,221.468029,0.000000
20260824_115654,S6B,1,prey,12,prey_12,0.000801,1248.729752,1248.729752,1,6,136.412763,160.857648,47.876225
20260824_115654,S6B,1,prey,12,prey_12,0.000801,1248.729752,1248.729752,1,7,117.817836,55.209650,3.097861
20260824_115654,S6B,1,prey,12,prey_12,0.000801,1248.729752,1248.729752,1,8,36.246517,3.282881,19.117887
20260824_115654,S6B,1,prey,13,prey_13,0.000794,1258.859526,1258.859526,1,1,354.193489,360.688656,0.000000
20260824_115654,S6B,1,prey,13,prey_13,0.000794,1258.859526,1258.859526,1,2,393.254204,426.805926,0.000000
20260824_115654,S6B,1,prey,13,prey_13,0.000794,1258.859526,1258.859526,1,3,330.099838,354.449089,0.000000
20260824_115654,S6B,1,prey,13,prey_13,0.000794,1258.859526,1258.859526,1,4,272.300996,332.194716,0.000000
20260824_115654,S6B,1,prey,13,prey_13,0.000794,1258.859526,1258.859526,1,5,200.651130,266.663191,23.955217
20260824_115654,S6B,1,prey,13,prey_13,0.000794,1258.859526,1258.859526,1,6,164.763294,184.159079,15.933654
20260824_115654,S6B,1,prey,13,prey_13,0.000794,1258.859526,1258.859526,1,7,59.247661,47.625230,3.892024
20260824_115654,S6B,1,prey,13,prey_13,0.000794,1258.859526,1258.859526,1,8,23.592685,0.000000,0.000000
20260824_115654,S6B,1,prey,14,prey_14,0.000784,1274.766163,1274.766163,1,1,366.538218,413.619000,0.000000
20260824_115654,S6B,1,prey,14,prey_14,0.000784,1274.766163,1274.766163,1,2,380.170323,432.067027,0.000000
20260824_115654,S6B,1,prey,14,prey_14,0.000784,1274.766163,1274.766163,1,3,343.604717,382.381680,37.686427
20260824_115654,S6B,1,prey,14,prey_14,0.000784,1274.766163,1274.766163,1,4,297.575919,301.399622,37.038705
20260824_115654,S6B,1,prey,14,prey_14,0.000784,1274.766163,1274.766163,1,5,217.728775,212.147194,0.000000
20260824_115654,S6B,1,prey,14,prey_14,0.000784,1274.766163,1274.766163,1,6,144.123230,154.701449,21.497303
20260824_115654,S6B,1,prey,14,prey_14,0.000784,1274.766163,1274.766163,1,7,91.392893,56.991577,0.000000
20260824_115654,S6B,1,prey,14,prey_14,0.000784,1274.766163,1274.766163,1,8,0.000000,34.389276,0.000000
20260824_115654,S6B,1,prey,15,prey_15,0.000782,1278.143984,1278.143984,1,1,353.608014,386.112274,13.941299
20260824_115654,S6B,1,prey,15,prey_15,0.000782,1278.143984,1278.143984,1,2,353.887705,395.685733,44.215533
20260824_115654,S6B,1,prey,15,prey_15,0.000782,1278.143984,1278.143984,1,3,311.960321,386.199056,13.965882
20260824_115654,S6B,1,prey,15,prey_15,0.000782,1278.143984,1278.143984,1,4,279.710791,302.353714,11.123209
20260824_115654,S6B,1,prey,15,prey_15,0.000782,1278.143984,1278.143984,1,5,183.486653,217.269427,3.409572
20260824_115654,S6B,1,prey,15,prey_15,0.000782,1278.143984,1278.143984,1,6,175.771494,196.506312,0.000000
20260824_115654,S6B,1,prey,15,prey_15,0.000782,1278.143984,1278.143984,1,7,82.957009,48.578438,28.208523
20260824_115654,S6B,1,prey,15,prey_15,0.000782,1278.143984,1278.143984,1,8,0.000000,33.069644,0.000000
20260824_115654,S6B,1,prey,16,prey_16,0.000779,1284.179847,1284.179847,1,1,352.762071,429.755373,0.000000
20260824_115654,S6B,1,prey,16,prey_16,0.000779,1284.179847,1284.179847,1,2,399.826629,377.005173,0.000000
20260824_115654,S6B,1,prey,16,prey_16,0.000779,1284.179847,1284.179847,1,3,364.877209,367.993412,20.233877
20260824_115654,S6B,1,prey,16,prey_16,0.000779,1284.179847,1284.179847,1,4,304.782825,286.629451,0.000000
20260824_115654,S6B,1,prey,16,prey_16,0.000779,1284.179847,1284.179847,1,5,193.675429,216.629418,0.000000
20260824_115654,S6B,1,prey,16,prey_16,0.000779,1284.179847,1284.179847,1,6,152.328136,122.082948,21.272361
20260824_115654,S6B,1,prey,16,prey_16,0.000779,1284.179847,1284.179847,1,7,50.447291,89.378768,0.000000
20260824_115654,S6B,1,prey,16,prey_16,0.000779,1284.179847,1284.179847,1,8,0.000000,0.000000,0.000000
20260824_115654,S6B,1,prey,17,prey_17,0.000751,1332.045440,1332.045440,1,1,396.096546,401.806312,0.000000
20260824_115654,S6B,1,prey,17,prey_17,0.000751,1332.045440,1332.045440,1,2,349.154288,357.703755,6.381232
20260824_115654,S6B,1,prey,17,prey_17,0.000751,1332.045440,1332.045440,1,3,382.089983,403.523009,26.158917
20260824_115654,S6B,1,prey,17,prey_17,0.000751,1332.045440,1332.045440,1,4,300.935448,333.529394,0.000000
20260824_115654,S6B,1,prey,17,prey_17,0.000751,1332.045440,1332.045440,1,5,186.985346,223.141899,25.407576
20260824_115654,S6B,1,prey,17,prey_17,0.000751,1332.045440,1332.045440,1,6,174.991826,135.415157,0.000000
20260824_115654,S6B,1,prey,17,prey_17,0.000751,1332.045440,1332.045440,1,7,72.999013,63.876133,0.000000
20260824_115654,S6B,1,prey,17,prey_17,0.000751,1332.045440,1332.045440,1,8,40.770362,0.000000,11.169556
20260824_115654,S6B,1,prey,18,prey_18,0.000747,1337.881722,1337.881722,1,1,351.670169,414.748150,0.000000
20260824_115654,S6B,1,prey,18,prey_18,0.000747,1337.881722,1337.881722,1,2,407.364548,388.739748,0.000000
20260824_115654,S6B,1,prey,18,prey_18,0.000747,1337.881722,1337.881722,1,3,316.049496,390.803270,7.635357
20260824_115654,S6B,1,prey,18,prey_18,0.000747,1337.881722,1337.881722,1,4,322.376962,331.020257,14.883204
20260824_115654,S6B,1,prey,18,prey_18,0.000747,1337.881722,1337.881722,1,5,191.869198,210.199284,0.000000
20260824_115654,S6B,1,prey,18,prey_18,0.000747,1337.881722,1337.881722,1,6,144.355288,161.684099,0.000000
20260824_115654,S6B,1,prey,18,prey_18,0.000747,1337.881722,1337.881722,1,7,34.967825,84.922035,27.085409
20260824_115654,S6B,1,prey,18,prey_18,0.000747,1337.881722,1337.881722,1,8,0.000000,27.216207,0.000000
20260824_115654,S6B,1,prey,19,prey_19,0.000737,1357.608497,1357.608497,1,1,378.054577,430.440795,0.000000
20260824_115654,S6B,1,prey,19,prey_19,0.000737,1357.608497,1357.608497,1,2,357.700675,399.017306,0.000000
20260824_115654,S6B,1,prey,19,prey_19,0.000737,1357.608497,1357.608497,1,3,377.071947,399.519906,5.831175
20260824_115654,S6B,1,prey,19,prey_19,0.000737,1357.608497,1357.608497,1,4,305.786746,325.162155,30.640867
20260824_115654,S6B,1,prey,19,prey_19,0.000737,1357.608497,1357.608497,1,5,221.065349,209.916725,41.793887
20260824_115654,S6B,1,prey,19,prey_19,0.000737,1357.608497,1357.608497,1,6,131.533062,146.747463,13.799771
20260824_115654,S6B,1,prey,19,prey_19,0.000737,1357.608497,1357.608497,1,7,97.907597,107.215344,34.211241
20260824_115654,S6B,1,prey,19,prey_19,0.000737,1357.608497,1357.608497,1,8,0.448096,0.000000,0.000000
20260824_115654,S6B,1,prey,20,prey_20,0.000692,1444.043440,1444.043440,1,1,351.206870,403.124877,10.797352
20260824_115654,S6B,1,prey,20,prey_20,0.000692,1444.043440,1444.043440,1,2,367.927737,393.420560,37.657648
20260824_115654,S6B,1,prey,20,prey_20,0.000692,1444.043440,1444.043440,1,3,349.020868,420.829042,0.000000
20260824_115654,S6B,1,prey,20,prey_20,0.000692,1444.043440,1444.043440,1,4,319.420321,278.354513,0.000000
20260824_115654,S6B,1,prey,20,prey_20,0.000692,1444.043440,1444.043440,1,5,243.678845,204.211135,6.827083
20260824_115654,S6B,1,prey,20,prey_20,0.000692,1444.043440,1444.043440,1,6,117.384197,183.989465,0.000000
20260824_115654,S6B,1,prey,20,prey_20,0.000692,1444.043440,1444.043440,1,7,113.531331,81.282873,24.836463
20260824_115654,S6B,1,prey,20,prey_20,0.000692,1444.043440,1444.043440,1,8,9.947475,0.000000,0.000000
20260824_115654,S6B,1,global_best,0,global_best_00,0.000999,1001.464344,1001.464344,1,1,370.000000,400.000000,0.000000
20260824_115654,S6B,1,global_best,0,global_best_00,0.000999,1001.464344,1001.464344,1,2,370.000000,400.000000,0.000000
20260824_115654,S6B,1,global_best,0,global_best_00,0.000999,1001.464344,1001.464344,1,3,356.059221,384.928888,0.000000
20260824_115654,S6B,1,global_best,0,global_best_00,0.000999,1001.464344,1001.464344,1,4,286.277449,309.489134,0.000000
20260824_115654,S6B,1,global_best,0,global_best_00,0.000999,1001.464344,1001.464344,1,5,216.495676,234.049380,0.000000
20260824_115654,S6B,1,global_best,0,global_best_00,0.000999,1001.464344,1001.464344,1,6,146.713904,158.609626,0.000000
20260824_115654,S6B,1,global_best,0,global_best_00,0.000999,1001.464344,1001.464344,1,7,76.932131,83.169872,0.000000
20260824_115654,S6B,1,global_best,0,global_best_00,0.000999,1001.464344,1001.464344,1,8,0.000000,0.000000,0.000000
