format,version,record_type,group_index,point_index,action,x_mm,y_mm,z_mm,payload_json
segment_planner_bundle,2,PLANNING,9,,,0,0,185,"{""action_point"":[0.0,0.0,185.0]}"
segment_planner_bundle,2,PLANNING,10,,GRIP,0,0,190,"{""action_point"":[0.0,0.0,215.0]}"
segment_planner_bundle,2,PLANNING,11,,,0,0,50,"{""action_point"":[0.0,0.0,50.0]}"
segment_planner_bundle,2,PLANNING,12,,,385,225,50,"{""action_point"":[385.0,225.0,50.0]}"
segment_planner_bundle,2,PLANNING,13,,RELEASE,385,225,185,"{""action_point"":[385.0,225.0,210.0]}"
segment_planner_bundle,2,PLANNING,14,,,0,0,185,"{""action_point"":[0.0,0.0,185.0]}"
segment_planner_bundle,2,PLANNING,15,,GRIP,0,0,190,"{""action_point"":[0.0,0.0,215.0]}"
segment_planner_bundle,2,PLANNING,16,,,0,0,50,"{""action_point"":[0.0,0.0,50.0]}"
segment_planner_bundle,2,PLANNING,17,,,385,285,50,"{""action_point"":[385.0,285.0,50.0]}"
segment_planner_bundle,2,PLANNING,18,,RELEASE,385,285,185,"{""action_point"":[385.0,285.0,210.0]}"
segment_planner_bundle,2,PLANNING,19,,,0,0,185,"{""action_point"":[0.0,0.0,185.0]}"
segment_planner_bundle,2,PLANNING,20,,GRIP,0,0,190,"{""action_point"":[0.0,0.0,215.0]}"
segment_planner_bundle,2,PLANNING,21,,,0,0,50,"{""action_point"":[0.0,0.0,50.0]}"
segment_planner_bundle,2,PLANNING,22,,,385,345,50,"{""action_point"":[385.0,345.0,50.0]}"
segment_planner_bundle,2,PLANNING,23,,RELEASE,385,345,185,"{""action_point"":[385.0,345.0,210.0]}"
segment_planner_bundle,2,PLANNING,24,,,0,0,185,"{""action_point"":[0.0,0.0,185.0]}"
segment_planner_bundle,2,PLANNING,25,,GRIP,0,0,190,"{""action_point"":[0.0,0.0,215.0]}"
segment_planner_bundle,2,PLANNING,26,,,0,0,50,"{""action_point"":[0.0,0.0,50.0]}"
segment_planner_bundle,2,PLANNING,27,,,385,405,50,"{""action_point"":[385.0,405.0,50.0]}"
segment_planner_bundle,2,PLANNING,28,,RELEASE,385,405,185,"{""action_point"":[385.0,405.0,210.0]}"
